Date,US_71708110,US_71715B40,US_71716E10,US_71722W10,US_73701010,US_74271810,US_74318710,US_74374N10,US_74587V10,US_75615P10,US_75886F10,US_76133010,US_76243J10,US_76655960,US_79543510,US_80105N10,US_80281730,US_80360710,US_80660510,US_80890510,US_81064810,US_81129220,US_81181C10,US_81731510,US_82481R10,US_83470610,US_84763A10,US_85205L10,US_85858C10,US_86845910,US_87406020,US_87650L10,US_88078L10,US_88162420,US_88579Y10,US_89422G10,US_90400D10,US_90480110,US_91307C10,US_91911X10,US_92165910,US_92511W10,US_92661310,US_98074510,US_98302410,US_98920Y30,US_G0176710,US_G3040110,US_G637AM10,US_G9782210,US_H0036K14,US_H0130110,US_M8737E10,US_M9608810,US_N3101010
1993-01-04,72.38 ,,,,,53.25 ,,,,,12.00 ,,,,,,,,63.62 ,8.88 ,,,,9.25 ,,6.75 ,,,,,,,,46.25 ,100.62 ,,,11.50 ,,11.25 ,,,,,67.50 ,,9.00 ,,,44.25 ,,,8.38 ,,
1993-01-05,69.88 ,,,,,53.00 ,,,,,14.75 ,,,,,,,,60.88 ,8.50 ,,,,9.75 ,,6.75 ,,,,,,,,45.50 ,99.75 ,,,10.75 ,,11.00 ,,,,,66.75 ,,9.25 ,,,44.50 ,,,8.75 ,,
1993-01-06,68.25 ,,,,,52.00 ,,,,,16.00 ,,,,,,,,60.25 ,9.62 ,,,,10.25 ,,6.75 ,,,,,,,,44.75 ,99.62 ,,,10.75 ,,10.88 ,,,,,64.50 ,,9.50 ,,,43.75 ,,,9.25 ,,
1993-01-07,67.12 ,,,,,51.25 ,,,,,15.50 ,,,,,,,,59.50 ,9.75 ,,,,10.25 ,,7.25 ,,,,,,,,45.00 ,99.62 ,,,10.50 ,,11.25 ,,,,,65.62 ,,9.50 ,,,42.75 ,,,9.00 ,,
1993-01-08,68.00 ,,,,,49.75 ,,,,,15.00 ,,,,,,,,59.88 ,9.38 ,,,,10.50 ,,7.00 ,,,,,,,,45.00 ,99.88 ,,,11.00 ,,10.75 ,,,,,66.50 ,,9.25 ,,,42.50 ,,,8.75 ,,
1993-01-11,68.50 ,,,,,49.25 ,,,,,15.00 ,,,,,,,,60.12 ,9.75 ,,,,10.50 ,,7.50 ,,,,,,,,45.75 ,99.75 ,,,10.75 ,,10.75 ,,,,,65.88 ,,9.25 ,,,42.50 ,,,8.50 ,,
1993-01-12,68.00 ,,,,,49.38 ,,,,,13.75 ,,,,,,,,59.75 ,10.12 ,,,,11.00 ,,8.50 ,,,,,,,,45.25 ,98.62 ,,,10.50 ,,10.38 ,,,,,65.75 ,,9.25 ,,,42.50 ,,,8.62 ,,
1993-01-13,66.25 ,,,,,50.00 ,,,,,14.75 ,,,,,,,,59.12 ,9.00 ,,,,10.75 ,,8.88 ,,,,,,,,43.50 ,99.62 ,,,10.50 ,,12.25 ,,,,,66.88 ,,9.25 ,,,42.00 ,,,9.00 ,,
1993-01-14,65.62 ,,,,,50.50 ,,,,,15.75 ,,,,,,,,58.25 ,9.00 ,,,,10.25 ,,8.50 ,,,,,,,,44.00 ,100.00 ,,,10.62 ,,12.50 ,,,,,66.62 ,,8.88 ,,,42.00 ,,,9.00 ,,
1993-01-15,65.38 ,,,,,51.00 ,,,,,15.75 ,,,,,,,,58.75 ,8.62 ,,,,10.50 ,,8.50 ,,,,,,,,44.12 ,100.12 ,,,11.00 ,,12.38 ,,,,,66.38 ,,10.25 ,,,43.00 ,,,8.50 ,,
1993-01-18,63.25 ,,,,,50.38 ,,,,,15.25 ,,,,,,,,57.88 ,8.62 ,,,,10.50 ,,8.75 ,,,,,,,,44.12 ,100.00 ,,,10.50 ,,13.00 ,,,,,66.00 ,,10.25 ,,,43.75 ,,,8.75 ,,
1993-01-19,61.00 ,,,,,49.75 ,,,,,14.75 ,,,,,,,,56.38 ,8.38 ,,,,10.00 ,,9.25 ,,,,,,,,43.88 ,99.00 ,,,10.50 ,,13.38 ,,,,,63.00 ,,10.00 ,,,43.00 ,,,8.62 ,,
1993-01-20,63.50 ,,,,,49.50 ,,,,,13.75 ,,,,,,,,57.62 ,8.50 ,,,,9.75 ,,9.25 ,,,,,,,,44.38 ,98.25 ,,,10.25 ,,14.38 ,,,,,64.62 ,,10.12 ,,,43.50 ,,,8.62 ,,
1993-01-21,65.00 ,,,,,49.50 ,,,,,13.50 ,,,,,,,,59.62 ,8.38 ,,,,9.75 ,,9.00 ,,,,,,,,43.88 ,99.38 ,,,10.00 ,,15.62 ,,,,,65.00 ,,10.00 ,,,43.75 ,,,9.00 ,,
1993-01-22,67.75 ,,,,,50.25 ,,,,,13.75 ,,,,,,,,60.00 ,8.12 ,,,,9.50 ,,9.25 ,,,,,,,,43.50 ,97.75 ,,,10.00 ,,17.00 ,,,,,66.00 ,,9.75 ,,,43.50 ,,,8.38 ,,
1993-01-25,66.88 ,,,,,50.75 ,,,,,13.88 ,,,,,,,,59.50 ,8.12 ,,,,10.00 ,,8.75 ,,,,,,,,46.62 ,99.88 ,,,10.00 ,,16.50 ,,,,,65.00 ,,9.25 ,,,43.75 ,,,8.88 ,,
1993-01-26,65.12 ,,,,,50.00 ,,,,,13.50 ,,,,,,,,57.88 ,8.12 ,,,,9.88 ,,9.25 ,,,,,,,,47.75 ,98.62 ,,,10.00 ,,17.00 ,,,,,64.12 ,,9.75 ,,,46.00 ,,,8.88 ,,
1993-01-27,65.62 ,,,,,49.62 ,,,,,13.25 ,,,,,,,,58.12 ,7.75 ,,,,9.75 ,,9.25 ,,,,,,,,47.25 ,97.50 ,,,10.12 ,,16.75 ,,,,,63.25 ,,9.25 ,,,46.50 ,,,8.12 ,,
1993-01-28,66.12 ,,,,,49.75 ,,,,,13.25 ,,,,,,,,59.00 ,7.50 ,,,,10.00 ,,9.25 ,,,,,,,,46.12 ,97.88 ,,,10.12 ,,16.75 ,,,,,62.62 ,,8.75 ,,,46.25 ,,,9.00 ,,
1993-01-29,66.00 ,,,,,49.75 ,,,,,15.00 ,,,,,,,,60.25 ,7.62 ,,,,9.50 ,,9.50 ,,,,,,,,46.75 ,98.00 ,,,10.25 ,,17.00 ,,,,,62.50 ,,9.00 ,,,45.00 ,,,8.50 ,,
1993-02-01,66.00 ,,,,,50.25 ,,,,,16.50 ,,,,,,,,60.12 ,7.50 ,,,,9.50 ,,9.50 ,,,,,,,,48.25 ,98.75 ,,,9.50 ,,16.88 ,,,,,62.88 ,,8.75 ,,,46.50 ,,,8.75 ,,
1993-02-02,63.12 ,,,,,50.00 ,,,,,15.75 ,,,,,,,,58.62 ,7.25 ,,,,9.50 ,,9.50 ,,,,,,,,49.00 ,98.88 ,,,9.25 ,,17.00 ,,,,,61.62 ,,8.50 ,,,48.00 ,,,9.00 ,,
1993-02-03,64.25 ,,,,,50.62 ,,,,,15.50 ,,,,,,,,59.38 ,7.25 ,,,,9.00 ,,9.50 ,,,,,,,,50.12 ,100.75 ,,,9.75 ,,17.00 ,,,,,63.12 ,,8.75 ,,,50.25 ,,,9.00 ,,
1993-02-04,64.38 ,,,,,50.88 ,,,,,15.00 ,,,,,,,,58.38 ,6.88 ,,,,8.50 ,,9.50 ,,,,,,,,50.50 ,104.25 ,,,9.25 ,,18.38 ,,,,,62.75 ,,8.00 ,,,48.25 ,,,8.75 ,,
1993-02-05,63.25 ,,,,,51.38 ,,,,,14.25 ,,,,,,,,58.50 ,7.00 ,,,,8.25 ,,9.25 ,,,,,,,,49.25 ,108.75 ,,,9.25 ,,18.88 ,,,,,63.50 ,,8.00 ,,,47.88 ,,,8.75 ,,
1993-02-08,62.25 ,,,,,52.25 ,,,,,15.25 ,,,,,,,,58.50 ,6.75 ,,,,8.50 ,,8.75 ,,,,,,,,48.50 ,109.00 ,,,9.25 ,,20.25 ,,,,,62.00 ,,10.00 ,,,47.12 ,,,9.00 ,,
1993-02-09,61.88 ,,,,,51.75 ,,,,,15.00 ,,,,,,,,58.62 ,6.50 ,,,,8.75 ,,8.75 ,,,,,,,,47.62 ,109.00 ,,,9.25 ,,20.50 ,,,,,62.12 ,,9.50 ,,,45.25 ,,,8.50 ,,
1993-02-10,62.62 ,,,,,51.75 ,,,,,15.25 ,,,,,,,,58.88 ,7.12 ,,,,8.12 ,,8.75 ,,,,,,,,48.50 ,109.25 ,,,9.38 ,,20.25 ,,,,,62.50 ,,10.00 ,,,43.75 ,,,8.50 ,,
1993-02-11,64.38 ,,,,,52.25 ,,,,,15.50 ,,,,,,,,62.00 ,7.25 ,,,,9.00 ,,9.00 ,,,,,,,,46.12 ,107.75 ,,,9.25 ,,22.12 ,,,,,63.75 ,,10.00 ,,,43.75 ,,,8.50 ,,
1993-02-12,64.25 ,,,,,50.88 ,,,,,14.00 ,,,,,,,,63.12 ,7.25 ,,,,9.75 ,,9.25 ,,,,,,,,45.38 ,107.25 ,,,9.25 ,,22.00 ,,,,,63.62 ,,9.50 ,,,43.00 ,,,8.50 ,,
1993-02-16,60.12 ,,,,,50.12 ,,,,,13.00 ,,,,,,,,59.38 ,6.75 ,,,,9.00 ,,9.25 ,,,,,,,,44.75 ,105.25 ,,,8.50 ,,19.62 ,,,,,60.62 ,,8.88 ,,,42.00 ,,,8.50 ,,
1993-02-17,59.25 ,,,,,50.00 ,,,,,13.00 ,,,,,,,,59.62 ,6.62 ,,,,8.00 ,,8.25 ,,,,,,,,43.25 ,103.75 ,,,8.00 ,,19.12 ,,,,,60.00 ,,8.88 ,,,41.75 ,,,8.25 ,,
1993-02-18,59.12 ,,,,,49.50 ,,,,,13.00 ,,,,,,,,56.75 ,6.88 ,,,,8.50 ,,8.25 ,,,,,,,,42.00 ,103.00 ,,,8.12 ,,19.75 ,,,,,58.00 ,,8.00 ,,,42.50 ,,,8.50 ,,
1993-02-19,54.50 ,,,,,49.38 ,,,,,13.25 ,,,,,,,,53.62 ,6.75 ,,,,8.50 ,,8.25 ,,,,,,,,39.38 ,104.88 ,,,8.25 ,,19.50 ,,,,,57.00 ,,7.50 ,,,42.50 ,,,8.00 ,,
1993-02-22,54.00 ,,,,,49.88 ,,,,,11.00 ,,,,,,,,53.00 ,6.38 ,,,,8.25 ,,9.00 ,,,,,,,,37.25 ,104.62 ,,,8.25 ,,18.12 ,,,,,56.12 ,,7.00 ,,,39.50 ,,,8.25 ,,
1993-02-23,57.12 ,,,,,50.75 ,,,,,12.00 ,,,,,,,,55.50 ,6.62 ,,,,8.00 ,,9.00 ,,,,,,,,37.38 ,104.25 ,,,8.25 ,,16.38 ,,,,,59.50 ,,7.25 ,,,38.75 ,,,8.50 ,,
1993-02-24,57.75 ,,,,,50.75 ,,,,,13.50 ,,,,,,,,56.50 ,6.75 ,,,,8.75 ,,9.00 ,,,,,,,,39.00 ,105.25 ,,,8.25 ,,17.00 ,,,,,60.50 ,,8.25 ,,,39.50 ,,,8.00 ,,
1993-02-25,57.12 ,,,,,50.88 ,,,,,12.62 ,,,,,,,,56.62 ,6.75 ,,,,9.00 ,,9.00 ,,,,,,,,41.75 ,104.38 ,,,8.25 ,,17.38 ,,,,,59.88 ,,8.50 ,,,40.75 ,,,8.00 ,,
1993-02-26,58.38 ,,,,,52.00 ,,,,,12.75 ,,,,,,,,57.00 ,6.75 ,,,,9.00 ,,9.00 ,,,,,,,,42.62 ,105.50 ,,,7.50 ,,17.62 ,,,,,60.50 ,,8.25 ,,,41.00 ,,,8.50 ,,
